??醫藥病疫,20/8/2025,https://www.hk01.com/article/60266908?utm_source=01articlecopy&utm_medium=referral,患癌後不宜「躺平」？研究揭運動有益癌症患者降低死亡率延長壽命,,,,,,,,,,,,,,
??醫藥病疫,19/8/2025,https://www.hk01.com/article/60268111?utm_source=01articlecopy&utm_medium=referral,亞視前高層盛品儒離世　袁文傑爆收男藝人電話通知病危：就?唔得,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://today.line.me/tw/v3/article/8nyDNLR?referral=TOPIC-BingeWatching,《六人行》馬修派瑞「暴斃前狂買51瓶K他命」 最後一名共犯終於認罪,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.msn.com/zh-tw/entertainment/news/%E4%BA%9E%E8%A6%96%E5%89%8D%E9%AB%98%E5%B1%A4%E7%9B%9B%E5%93%81%E5%84%92%E8%82%9D%E7%99%8C%E9%80%9D-%E5%87%BA%E8%BA%AB%E6%99%9A%E6%B8%85%E5%90%8D%E9%96%80-%E9%81%BA%E5%AD%80%E5%AE%B6%E4%B8%96%E4%B9%9F%E4%B8%8D%E5%87%A1/ar-AA1KLyAj?cvid=091EB301CF0846A89EDF2E4ACF3D198D&ocid=windirect,亞視前高層盛品儒肝癌逝！ 出身晚清名門遺孀家世也不凡,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://news.ltn.com.tw/news/world/breakingnews/5149087,供毒致男星馬修派瑞猝死 毒販「K他命女王」認罪,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.msn.com/zh-tw/entertainment/news/%E9%87%91%E9%90%9859-%E6%BC%8F%E6%8E%89%E4%BA%86-%E8%BF%BD%E6%80%9Dvcr%E4%B8%8D%E8%A6%8B%E7%99%8C%E9%80%9D%E6%B1%AA%E5%BB%BA%E6%B0%91-%E4%B8%89%E7%AB%8B%E5%9B%9E%E6%87%89%E4%BA%86/ar-AA1svzNK?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,金鐘59／漏掉了？追思VCR 不見癌逝汪建民三立回應了,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.thenewslens.com/article/257459,美國司法部：供毒致男星馬修派瑞猝死，毒販「K他命女王」認罪,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://portal.sina.com.hk/news-intl/rthk/2025/08/19/1272781/%E6%B3%B0%E5%9C%8B%E9%95%B7%E5%85%AC%E4%B8%BB%E7%BA%8C%E7%95%99%E9%99%A2%E6%8E%A5%E5%8F%97%E6%B2%BB%E7%99%82%E3%80%80%E4%BB%A5%E7%A9%A9%E5%AE%9A%E8%A1%80%E5%A3%93/,泰國長公主續留院接受治療 以穩定血壓,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.mytvsuper.com/tc/scoopplus/scoop/catch-up/15777199682250/%E6%9D%B1%E5%BC%B5%E8%A5%BF%E6%9C%9B-%E8%83%B0%E8%87%9F%E7%99%8C%E7%97%85%E5%A9%A6%E5%90%90%E8%A1%80%E9%80%81%E9%99%A2%E6%8E%A5%E5%8F%97%E6%89%8B%E8%A1%93%E6%B5%81%E8%A1%80%E4%B8%8D%E6%AD%A2%E6%AD%BB%E4%BA%A1-%E7%96%91%E7%82%BA%E9%86%AB%E7%99%82%E4%BA%8B%E6%95%85-%E7%B5%95%E5%AF%86%E9%8C%84%E9%9F%B3%E6%9B%9D%E5%85%89%E9%86%AB%E7%94%9F%E8%AA%8D%E5%A4%B1%E8%AA%A4,胰臟癌病婦吐血送院接受手術流血不止死亡疑為醫療事故絕密錄音曝光醫生認失誤,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.mytvsuper.com/tc/scoopplus/healthcare/health/15776337957708/%E5%81%A5%E5%BA%B7%E9%86%AB%E7%BE%8E-%E5%81%A5%E5%BA%B7%E6%96%B0%E8%81%9E%E5%A0%B1%E9%81%93---%E5%A4%AB%E5%A9%A6%E9%9B%99%E9%9B%99%E7%A2%BA%E8%A8%BA%E6%9C%AB%E6%9C%9F%E8%82%9D%E7%99%8C-%E6%8F%AD%E5%85%83%E5%85%87%E7%82%BA2%E4%BB%B6%E5%BB%9A%E5%85%B7-%E4%B8%80%E5%80%8B%E5%8B%95%E4%BD%9C%E8%87%AA%E6%B8%AC%E8%A1%B0%E8%80%81-%E5%A4%B1%E6%95%97%E6%98%93%E6%9C%89%E5%BF%83%E8%87%9F%E7%97%85%E7%99%8C%E7%97%87,健康新聞報道| 夫婦雙雙確診末期肝癌揭元兇為2件廚具一個動作自測衰老失敗易有心臟病癌症,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.msn.com/zh-tw/news/opinion/%E8%A8%B1%E5%AE%B6%E8%93%93%E7%99%8C%E9%80%9D20%E5%B0%8F%E5%89%8D%E6%89%8Dpo%E6%96%87-%E7%8E%8B%E9%B4%BB%E8%96%87-%E4%B8%8D%E6%95%A2%E7%9B%B8%E4%BF%A1/ar-AA1qK32y?ocid=hpmsn&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,許家蓓癌逝20小前才PO文 王鴻薇： 不敢相信,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.msn.com/zh-tw/entertainment/news/%E8%85%A6%E6%BA%A2%E8%A1%80%E5%8F%88%E8%B7%8C%E5%80%92-57%E6%AD%B2%E8%A2%81%E6%83%9F%E4%BB%81%E6%88%90%E6%A4%8D%E7%89%A9%E4%BA%BA5%E5%B9%B4-%E7%B4%80%E5%AF%B6%E5%A6%82%E9%AC%86%E5%8F%A3%E7%9C%9F%E5%AF%A6%E8%BF%91%E6%B3%81/ar-AA1HnLHf?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,腦溢血又跌倒！57歲袁惟仁成植物人5 年 紀寶如鬆口真實近況,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,http://www.msn.com/zh-tw/health/other/%E7%8D%A8%E5%AE%B6-%E6%B2%88%E7%8E%89%E7%90%B3%E9%A9%9A%E5%82%B3-%E7%8C%9B%E7%88%86%E6%80%A7%E8%82%9D%E7%82%8E%E5%BC%95%E7%99%BC%E8%85%A6%E6%B0%B4%E8%85%AB-%E6%98%8F%E8%BF%B7%E8%BD%89%E5%85%A5%E5%8A%A0%E8%AD%B7%E7%97%85%E6%88%BF/ar-AA1Jw8cF?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,獨家／沈玉琳驚傳「猛爆性肝炎引發腦水腫」 昏迷轉入加護病房,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.hk01.com/article/60268580?utm_source=01articlecopy&utm_medium=referral,東張西望｜爆醫生手術錯誤致病人出血　拒絕承認死於醫療事故,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.hk01.com/article/60268225?utm_source=01articlecopy&utm_medium=referral,東張西望｜媽媽手術後身亡醫生被指神情閃縮　事主：草菅人命,,,,,,,,,,,,,,
??醫藥病疫,20/8/2025,https://www.hk01.com/article/60268568?utm_source=01articlecopy&utm_medium=referral,日本腦炎｜6年首宗　居沙田帝堡城婦確診　8月初菲律賓返港後發病,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.msn.com/zh-tw/entertainment/news/%E9%9D%9E%E5%B8%B8%E5%BE%8B%E5%B8%AB%E7%A6%B9%E8%8B%B1%E7%A6%91-%E5%A5%B3%E6%98%9F%E7%BD%B9%E7%99%8C%E9%80%9D%E4%B8%96-%E5%A5%B3%E5%85%92%E6%82%B2%E5%96%8A-%E5%8E%BB%E5%BE%88%E9%81%A0%E7%9A%84%E5%9C%B0%E6%96%B9/ar-AA1zZShs?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,《非常律師禹英?》女星罹癌逝世！女兒悲喊： 去很遠的地方,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://star.ettoday.net/news/3019275,「世界上最好的法官」癌逝！享耆壽88歲　曾判失子媽免罰：不會讓妳只剩5美金,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.hk01.com/%E9%9B%BB%E5%BD%B1/60268364/007%E7%B6%93%E5%85%B8%E6%A8%99%E8%AA%8C%E8%A8%AD%E8%A8%88%E5%B8%AB%E9%80%9D%E4%B8%96%E4%BA%AB%E5%B9%B4103%E6%AD%B2-%E7%94%A8%E8%B6%B360%E5%B9%B4%E6%94%B6%E8%B2%BB%E5%8F%AA%E9%9C%80300%E5%85%83%E7%BE%8E%E9%87%91,007經典標誌設計師逝世享年103歲 用足60年收費只需300元美金,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://health.setn.com/news/1707317,25歲男「少1特徵」不敢出門！一查腦部5公分腫瘤：最後會看不見,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.epochtimes.com/b5/25/8/19/n14576802.htm,中國肆虐的基孔肯雅熱對美國旅行者有何風險？,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.stheadline.com/film-drama/3492052/%E5%A4%A9%E7%8E%8B%E6%90%96%E6%BB%BE%E5%85%84%E5%BC%9F%E9%A9%9A%E7%88%86%E6%82%A3%E8%83%83%E7%99%8C%E9%9B%A2%E4%B8%96%E7%B5%82%E5%B9%B452%E6%AD%B2%E4%BB%96%E8%B5%B0%E5%BE%97%E9%82%A3%E9%BA%BC%E7%AA%81%E7%84%B6-%E5%85%A9%E7%BF%92%E6%85%A3%E8%87%B4%E8%8B%B1%E5%B9%B4%E6%97%A9%E9%80%9D,天王「搖滾兄弟」驚爆患胃癌離世終年52歲：他走得那麼突然 兩習慣致英年早逝？,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/hk/v3/reposts/article/j7JDO9L,心血管疾病死亡率僅次於惡性腫瘤！營養師推「得舒飲食」調節血壓及膽固醇| 討論牆,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://topick.hket.com/article/3996685,牙周病︱前金牌司儀自爆受抑鬱困擾連續7日不洗漱 患嚴重牙周病：已經冇晒牙骨,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.msn.com/zh-tw/news/living/%E5%AE%83%E9%87%8D%E5%89%B5%E5%81%A5%E5%BA%B7-%E9%86%AB%E6%80%92-%E5%B9%B4%E5%A5%AA130%E8%90%AC%E4%BA%BA%E5%91%BD-%E5%B9%BE%E5%88%86%E9%90%98%E5%B0%B1%E5%82%B7%E8%A1%80%E7%AE%A1-%E5%AE%B3%E5%BF%83%E6%A2%97/ar-AA1FRa61?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,它重創健康！醫怒：年奪130萬人命 幾分鐘就傷血管、 害心梗,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://news.rthk.hk/rthk/ch/component/k2/1819066-20250820.htm,本港沒有錄得新增感染基孔肯雅熱個案,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/tw/v3/article/3Nw6qVk,皮膚脆如蝶翼！從出生到離世皆與病魔相伴 「蝴蝶寶寶」病逝弟弟同樣受折磨 | CTWANT,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/hk/v3/reposts/article/V51MXR,多一名新冠病毒男患者不治本港累計10人死亡| 討論牆,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.msn.com/zh-tw/news/national/%E6%B1%9F%E5%95%9F%E8%87%A3%E7%88%B6%E8%A6%AA%E9%A9%9A%E5%82%B3%E9%80%9D%E4%B8%96-%E6%9C%AC%E4%BA%BA%E8%AD%89%E5%AF%A6%E6%9B%9D%E8%BA%AB%E5%BE%8C%E4%BA%8B%E5%AE%89%E6%8E%92-%E6%86%B6%E7%94%9F%E5%89%8D%E6%9C%80%E5%B8%B8%E8%AA%AA%E4%B8%80%E5%8F%A5%E8%A9%B1/ar-AA1IdR0h?cvid=9FEA6A574B0D41CE95F32BA814B291E6&ocid=spartanntp&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,江啟臣父親驚傳逝世！ 本人證實曝身後事安排憶生前最常說一句話,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.msn.com/zh-tw/news/living/%E4%BD%9C%E5%AE%B6%E5%BD%AD%E6%AD%8C%E9%80%9D%E4%B8%96-%E4%BA%AB%E5%B5%A9%E5%A3%BD100%E6%AD%B2/ar-AA1HMJ7H?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,作家彭歌逝世 享嵩壽100歲,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://news.sciencenet.cn/htmlnews/2025/8/549960.shtm,岩土工程?家方?琪逝世,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://tw.news.yahoo.com/%E5%AD%A9%E5%AD%90%E6%98%AF%E5%AF%B6-%E5%8F%B0%E7%81%A3%E5%B9%BC%E5%85%92%E6%AD%BB%E4%BA%A1%E7%8E%87%E9%AB%98%E6%97%A5%E9%9F%931%E5%80%8D-3%E6%AD%B2%E7%AB%A5%E7%AD%89%E4%B8%8D%E5%88%B0%E7%97%85%E5%BA%8A%E9%9B%A2%E4%B8%96-030541272.html,孩子是寶？台灣幼兒死亡率高日韓1倍 3歲童等不到病床離世,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://cbgc.scol.com.cn/news/6654477,突??告：他因病逝世,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://news.ifeng.com/c/8lzbeOmKyei,美?网?法官卡普里?逝世，享年88?,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.epochtimes.com/b5/25/8/18/n14576046.htm,美社會保障金將加入13種新疾病 審查流程加快,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.nownews.com/news/6721782,美國「最暖法官」罹癌病逝！享壽88歲　最後身影曝光：躺床仍燦笑,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/tw/v3/reposts/article/Kw1o0eg,食物過敏引起「心血管死亡」機率增加？ 研究驚曝：「牛奶」竟是最危險食物| 討論牆,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/tw/v3/reposts/article/oqZVwk6,挺台愛沙尼亞議員驟逝！游錫?不捨| 討論牆,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/hk/v3/posts/list/article/vXVRlM5,討論牆 | 月初告別騷 「黑暗王子」Ozzy Osbourne逝世 享年76歲,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.stheadline.com/film-drama/3492008/%E7%9B%9B%E5%93%81%E5%84%92%E9%9B%A2%E4%B8%96%E4%B8%A8%E5%90%8C%E5%B9%B4%E5%90%8C%E6%9C%88%E5%90%8C%E6%97%A5%E7%B5%90%E5%A9%9A%E5%87%BA%E7%8F%BE%E5%BF%83%E5%AF%92%E5%B7%A7%E5%90%88-2%E5%90%8D%E4%BA%BA%E6%96%B0%E9%83%8E%E5%90%8C%E6%82%A3%E7%99%8C%E9%80%9D%E4%B8%96-%E9%BB%83%E6%9B%89%E6%98%8E%E9%9B%A2%E5%A9%9A%E6%94%B6%E5%A0%B4,盛品儒離世?同年同月同日結婚出現心寒巧合 2名人新郎同患癌逝世 黃曉明離婚收場,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.epochtimes.com/b5/25/8/20/n14577281.htm,莫納雷斯任CDC主任 聚焦疫苗與傳染病防治,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://today.line.me/tw/v3/reposts/article/QK08mV,最年輕死亡／新北36歲男確診次日不治| 討論牆,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://ct.org.tw/html/news/3-3.php?cat=27&article=1402081,童話與聖經：安徒生逝世150週年,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://finance.sina.cn/2025-08-20/detail-infmrnxz1655451.d.html?vt=4&cid=76729&node_id=76729,著名??思想史?家、武?大?李守庸教授逝世，享年100?,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.msn.com/zh-tw/news/other/%E8%B6%85%E4%BA%BA%E9%9B%BB%E5%BD%B1%E5%A4%A7%E5%8F%8D%E6%B4%BE%E8%96%A9%E5%BE%B7%E5%B0%87%E8%BB%8D-%E8%8B%B1%E5%9C%8B%E7%94%B7%E6%98%9F%E6%B3%B0%E5%80%AB%E6%96%AF%E5%8F%B2%E4%B8%B9%E6%99%AE%E9%80%9D%E4%B8%96/ar-AA1KGzqk,超人電影大反派薩德將軍 英國男星泰倫斯史丹普逝世,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.worldjournal.com/wj/story/121177/8948981,愛犬陸續癌逝、她多年來截肢罹癌常生病 檢測才知飲水遭汙染,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://news.rthk.hk/rthk/ch/component/k2/1819100-20250821.htm,歐洲今年的蚊媒疾病數量創新高 氣候變化為蚊傳播病毒創造條件,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://ctinews.com/news/items/M9n67E5PWR,震驚演藝圈！黃安突發訃告：永別了,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.itc.gov.hk/enewsletter/171001/big5/microneedle_patch_an_alternative_to_needle_and_syringe.html,全新「微針膠布」取代針筒,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.hk01.com/article/60268760?utm_source=01articlecopy&utm_medium=referral,泰國長公主昏迷近3年王室罕發聲：嚴重血液感染+設備維持器官運作,,,,,,,,,,,,,,
??醫藥病疫,21/8/2025,https://www.hk01.com/article/60268654?utm_source=01articlecopy&utm_medium=referral,80年代紅遍兩岸東南亞天后驚傳病逝終年62歲　淡出後定居大陸,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.yeeyi.com/news/details/2769344/,23?妹子度假突然爆吐+?倒！以?被下?，到?院??，中?了,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.worldjournal.com/wj/story/121471/8955285,長照機機構逾百染新冠14死 加州上訴法院撤案,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.worldjournal.com/wj/story/121172/8952893,網紅「仁心法官」88歲癌逝 最後溫暖身影曝光,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.wenweipo.com/a/202508/21/AP68a6f462e4b02db719802356.html,歐洲今年蚊媒疾病傳播事件創紀錄- 國際,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.top1health.com/Article/96874,帶狀?疹恐增中風風險！心血管疾病患者疫苗接種指引，預防5大疾病,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.thenewslens.com/article/257540,美國「最暖法官」卡普里奧逝世享年88歲：正義應包含公平、善良和對人類尊嚴的尊重,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.tcpttw.com/other/other_life/2025/08/21/192596/,高中生跑步時突然頭暈摔倒 部彰醫師找出糖尿病HHS為元兇,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.taisounds.com/news/content/88/208936,粉絲逾300萬「最暖法官」卡普里奧胰臟癌離世州政府悲慟降半旗紀念| 全球萬象,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.storm.mg/article/11061856,心血管疾病患者注意！常見5大傳染病對你更危險 皮蛇上身中風機率高3成,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.singtaousa.com/5310278,基孔肯雅熱｜連續6日無新個案 中心指新學年即將開始 籲辦學團體加強校園防蚊,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.setn.com/m/ampnews.aspx?NewsID=1707406,14歲就得糖尿病！高二男突昏倒　醫揭「致命併發症」：死亡率高,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.orangenews.hk/international/1292434/%E6%9C%89%E7%89%87-%E7%BE%8E%E5%9C%8B%E7%B6%B2%E7%B4%85%E6%B3%95%E5%AE%98%E5%8D%A1%E6%99%AE%E9%87%8C%E5%A5%A7%E5%9B%A0%E8%83%B0%E8%85%BA%E7%99%8C%E9%80%9D%E4%B8%96-%E4%BA%AB%E5%B9%B488%E6%AD%B2.shtml,?有片｜美國網紅法官卡普里奧因胰腺癌逝世 享年88歲,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.ohpama.com/966609/%E7%94%9F%E6%B4%BB%E5%81%A5%E5%BA%B7/%E5%81%A5%E5%BA%B7%E6%96%B0%E8%81%9E%E5%A0%B1%E9%81%93-%E5%8F%A3%E8%87%AD%E5%AE%B6%E6%97%8F-%E8%83%83%E7%99%8C/,健康新聞報道｜內地「口臭家族」藏致命警號 父親確診胃癌 女兒胃部有2嚴重問題 |,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.mytvsuper.com/tc/scoopplus/healthcare/health/15786431380747/%E5%81%A5%E5%BA%B7%E9%86%AB%E7%BE%8E-%E7%89%9B%E9%BB%83%E8%A7%A3%E6%AF%92%E7%89%87%EF%BD%9C%E5%85%A7%E5%9C%B0%E5%85%A9%E5%A5%B3%E5%AD%90%E6%9C%8D%E7%89%9B%E9%BB%83%E8%A7%A3%E6%AF%92%E7%89%87%E6%B2%BB%E4%BE%BF%E7%A7%98-%E9%A0%B8%E9%83%A8%E5%9B%9B%E8%82%A2%E7%8F%BE%E9%BB%91%E6%96%91-%E7%A2%BA%E8%A8%BA%E7%A0%92%E9%9C%9C%E4%B8%AD%E6%AF%92-%E7%B5%90%E8%85%B8%E9%BB%91%E8%AE%8A%E7%97%85-%E9%99%84%E6%AD%A3%E7%A2%BA%E6%9C%8D%E7%94%A8%E6%96%B9%E6%B3%95,牛黃解毒片｜內地兩女子服牛黃解毒片治便秘頸部四肢現黑斑確診砒霜中毒/結腸黑變病附正確服用方法- 東張+,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.msn.com/zh-tw/news/other/14%E6%AD%B2%E5%B0%B1%E5%BE%97%E7%B3%96%E5%B0%BF%E7%97%85-%E9%AB%98%E4%BA%8C%E7%94%B7%E7%AA%81%E6%98%8F%E5%80%92-%E9%86%AB%E6%8F%AD-%E8%87%B4%E5%91%BD%E4%BD%B5%E7%99%BC%E7%97%87-%E6%AD%BB%E4%BA%A1%E7%8E%87%E9%AB%98/ar-AA1KUPyD,14歲就得糖尿病！高二男突昏倒 醫揭「致命併發症」： 死亡率高,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.msn.com/zh-tw/news/other/%E9%AB%98%E9%9B%84%E7%88%86%E4%BB%8A%E5%B9%B4%E9%A6%96%E4%BE%8B%E6%9C%AC%E5%9C%9F%E6%97%A5%E6%9C%AC%E8%85%A6%E7%82%8E-%E7%94%B7%E6%98%8F%E8%BF%B7%E4%BD%8F%E9%99%A2-%E8%B6%B3%E8%B7%A1%E6%8E%A5%E8%A7%B8%E5%8F%B2%E6%9B%9D%E5%85%89/ar-AA1KW1vb,高雄爆今年首例本土日本腦炎 男昏迷住院... 足跡接觸史曝光,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.msn.com/zh-tw/news/living/%E4%BD%9C%E5%AE%B6%E5%BD%AD%E6%AD%8C%E9%80%9D%E4%B8%96-%E4%BA%AB%E5%B5%A9%E5%A3%BD100%E6%AD%B2/ar-AA1HMJ7H?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,作家彭歌逝世 享嵩壽100歲,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.msn.com/zh-tw/entertainment/news/%E6%AD%BB%E8%A8%8A%E8%97%8F2%E5%80%8B%E6%9C%88-%E6%97%A5%E6%BC%AB%E7%95%AB%E5%AE%B6%E6%A0%97%E6%A9%8B%E4%BC%B8%E7%A5%90%E9%80%9D%E4%B8%96-%E6%96%B0%E4%BD%9C%E9%80%A3%E8%BC%89-%E7%AA%81%E7%99%BC%E8%A8%83%E8%81%9E/ar-AA1tswhb?ocid=weather-verthp-feeds&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,死訊藏2個月！日漫畫家栗橋伸祐逝世 新作連載「突發訃聞」,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.msn.com/zh-cn/news/other/%E5%8A%A8%E4%B8%8D%E5%8A%A8%E5%B0%B1%E4%B8%80%E8%BA%AB%E6%B1%97-%E6%98%AF%E4%BD%93%E8%99%9A%E8%BF%98%E6%98%AF%E6%8E%92%E6%AF%92-%E6%8F%90%E9%86%92-%E5%8F%AF%E8%83%BD%E6%98%AF%E8%BF%995%E7%A7%8D%E7%96%BE%E7%97%85%E5%BE%81%E5%85%86/ar-AA1qGeHd?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,?不?就一身汗，是体??是排毒？提醒：可能是?5 种疾病征兆,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.mirrormedia.mg/story/20250821edi029,「我的法袍下沒有徽章，只有一顆真心」　全球「最善良法官」卡普里奧癌逝！享壽88歲,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.hkcna.hk/h5/docDetail.jsp?id=101087854&channel=4372,蚊傳疾病全球肆虐 香港?生署呼籲市民合力加強防蚊控蚊措施,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.hkcna.hk/h5/docDetail.jsp?id=101087585&channel=2808,資深籃球裁判郭玉佩逝世 中國籃協發文悼念,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.hk01.com/article/60268760,泰國長公主昏迷近3年王室罕發聲：嚴重血液感染+設備維持器官運作,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.hk01.com/%E5%8D%B3%E6%99%82%E5%9C%8B%E9%9A%9B/60268683/frank-caprio-%E4%B8%96%E4%B8%8A%E6%9C%80%E4%BB%81%E6%85%88-%E6%B3%95%E5%AE%98%E9%80%9D%E4%B8%96-%E7%AA%A9%E5%BF%83%E5%88%A4%E6%B1%BA%E6%9B%BE%E7%8D%B2%E5%85%A8%E7%90%83%E7%B6%B2%E6%B0%91%E8%AE%9A,「世上最仁慈」法官Frank Caprio逝世 窩心判決曾虜獲全球網民心,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.healthyd.com/articles/expert-blog/%E5%85%92%E7%AB%A5%E6%89%8B%E8%B6%B3%E5%8F%A3%E7%97%85-%E5%82%B3%E6%9F%93%E6%88%90%E4%BA%BA-%E5%85%92%E7%A7%91%E5%B0%88%E7%A7%91-%E5%90%B3%E5%AD%90%E9%9C%99%E9%86%AB%E7%94%9F,手足口病症狀｜病毒感染無分年齡！喉嚨痛、發燒？兒童手足口病亦可感染成人- 兒科專科醫生吳子霙,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.healthnews.com.tw/article/66018,不只疼痛難耐！罹「帶狀?疹」中風機率增3成 醫：2族群應警惕,,,,,,,,,,,,,,
??醫藥病疫,6/10/2025,https://www.gazetaexpress.com/zh-TW/%E5%B7%B4%E4%BC%8A%E6%8B%89%E5%A7%86%C2%B7%E9%9B%B7%E5%82%91%E7%9A%AE%E9%80%9D%E4%B8%96%E5%85%AB%E9%80%B1%E5%B9%B4/,巴伊拉姆·雷傑皮逝世八週年,,,,,,,,,,,,,,
